STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       2014;20180901;20180930;    3;  4.65;  15.58;   21.64;    9.39;    2.33;  32.3;  19.2;   1.0; 202.68;    1;    40.8;   16.0;eor
       2014;20181001;20181031;    3;  4.98;  11.45;   16.45;    6.43;    2.52;  27.4;  17.8;  -0.5; 154.00;    9;    18.4;    6.6;eor
       2014;20181101;20181130;    3;  5.90;   6.02;    9.11;    2.99;    2.80;  18.3;  17.1;  -4.8;  72.85;    9;    13.1;    3.2;eor
       2014;20181201;20181231;    3;  6.97;   5.41;    7.22;    3.20;    3.16;  13.3;  20.1;  -2.0;  29.00;    9;    82.0;   14.3;eor
       2014;20190101;20190131;    3;  6.43;   1.92;    4.24;   -0.68;    3.26;   8.4;  22.6;  -9.3;  52.22;    3;    59.4;   11.1;eor
       2014;20190201;20190228;    3;  5.31;   5.58;   10.04;    1.14;    2.86;  18.2;  20.2;  -3.4; 115.70;    3;     8.5;    4.3;eor
       2014;20190301;20190331;    3;  5.92;   7.30;   10.99;    3.39;    3.35;  19.0;  26.4;  -1.5;  85.00;    3;    67.3;   17.7;eor
       2014;20190401;20190430;    3;  3.78;   9.93;   15.68;    3.92;    2.77;  24.4;  19.9;  -2.4; 238.30;    3;    26.2;    7.9;eor
       2014;20190501;20190531;    3;  5.36;  11.53;   16.65;    5.47;    2.68;  24.8;  16.1;  -1.9; 182.36;    3;    28.7;    8.3;eor
       2014;20190601;20190630;    3;  4.51;  20.25;   26.35;   13.37;    2.53;  35.7;  18.5;   9.1; 303.42;    3;    42.8;   13.8;eor
       2014;20190701;20190731;    3;  5.25;  19.03;   24.95;   13.37;    2.68;  37.9;  20.4;   6.1; 187.90;    3;    23.4;    6.4;eor
       2014;20190801;20190831;    3;  4.47;  19.82;   25.90;   14.05;    2.26;  33.6;  18.5;   9.2; 220.68;    3;    66.8;   18.1;eor
       2014;20190901;20190930;    3;  5.08;  14.40;   19.48;    9.20;    2.53;  25.8;  25.6;   3.8; 145.53;    3;    73.2;   23.7;eor
       2014;20191001;20191031;    3;  5.90;  11.68;   15.34;    8.45;    2.74;  22.1;  19.4;  -2.7; 109.00;    3;   106.4;   41.6;eor
       2014;20191101;20191130;    3;  6.30;   5.97;    8.37;    3.14;    2.67;  16.4;  16.1;  -2.9;  41.68;    3;    37.2;    6.9;eor
       2014;20191201;20191231;    3;  5.79;   5.04;    7.59;    1.71;    2.87;  14.7;  19.5;  -4.5;  55.07;    3;    41.8;    5.5;eor
       2014;20200101;20200131;    1;  5.96;   5.12;    7.72;    2.16;    2.97;  13.0;  18.0;  -5.3;  47.52;    1;    17.5;    4.2;eor
       2014;20200201;20200229;    1;  6.41;   6.26;    8.98;    3.32;    3.83;  18.2;  30.0;  -2.1;  50.98;    1;   127.5;   21.3;eor
       2014;20200301;20200331;    1;  4.59;   6.04;   10.14;    1.47;    3.00;  16.1;  22.8;  -6.2; 168.60;    1;    43.8;    8.1;eor
