STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;MO_N;MO_TT;MO_TX;MO_TN;MO_FK;MX_TX;MX_FX;MX_TN;MO_SD_S;QN_6;MO_RR;MX_RS;eor
       3379;20180901;20180930;    3;  4.70;  16.20;   22.21;   10.93;    2.00;  29.3;  21.0;   2.7; 234.00;    9;   118.0;   24.5;eor
       3379;20181001;20181031;    3;  4.67;  11.50;   17.35;    6.83;    2.10;  25.1;  19.7;   1.2; 173.33;    9;    45.6;   24.5;eor
       3379;20181101;20181130;    3;  6.23;   5.23;    8.74;    2.66;    1.97;  21.2;  12.2;  -1.8;  86.07;    9;    25.1;   14.8;eor
       3379;20181201;20181231;    3;  7.27;   3.62;    6.23;    1.10;    2.55;  14.3;  22.4;  -5.4;  42.35;    9;    83.7;   16.5;eor
       3379;20190101;20190131;    3;  7.38;   0.02;    2.21;   -2.04;    2.77;   8.3;  21.3;  -8.0;  38.68;    3;    88.0;   22.1;eor
       3379;20190201;20190228;    3;  5.36;   3.99;    9.40;   -0.46;    2.11;  18.1;  22.1;  -6.6; 162.32;    3;    51.5;   20.8;eor
       3379;20190301;20190331;    3;  5.67;   7.55;   12.25;    3.31;    2.87;  19.3;  24.6;  -1.4; 169.75;    3;    44.0;    9.9;eor
       3379;20190401;20190430;    3;  5.74;  10.94;   16.73;    5.54;    2.47;  28.1;  14.9;   2.4; 198.23;    3;    21.0;    9.1;eor
       3379;20190501;20190531;    3;  6.19;  11.46;   16.29;    7.06;    2.26;  23.1;  16.6;   2.1; 170.12;    3;   191.5;   71.2;eor
       3379;20190601;20190630;    3;  -999;  20.86;   27.38;   14.09;    2.10;  35.2;  23.0;   9.7; 318.12;    3;    68.7;   18.8;eor
       3379;20190701;20190731;    3;  5.85;  20.59;   26.21;   15.25;    2.03;  35.3;  15.9;  11.0; 253.18;    3;   124.1;   49.2;eor
       3379;20190801;20190831;    3;  5.59;  19.95;   25.55;   14.90;    2.03;  33.2;  15.6;   9.8; 228.26;    3;   150.9;   46.0;eor
       3379;20190901;20190930;    3;  5.29;  15.01;   19.98;   10.24;    2.10;  27.0;  19.0;   3.4; 196.45;    3;    66.2;   25.4;eor
       3379;20191001;20191031;    3;  5.99;  11.78;   16.82;    7.45;    2.13;  24.5;  15.0;   2.9; 135.77;    3;    86.0;   28.7;eor
       3379;20191101;20191130;    3;  7.05;   5.49;    8.51;    2.62;    1.93;  18.1;  16.5;  -1.7;  42.45;    3;    26.0;    4.7;eor
       3379;20191201;20191231;    3;  -999;   4.04;    7.41;    0.80;    2.39;  16.1;  23.3;  -4.8;  99.87;    3;    47.1;    8.3;eor
       3379;20200101;20200131;    1;  5.78;   3.24;    7.21;   -0.55;    1.97;  14.5;  20.8;  -4.6; 122.62;    1;    23.1;    4.9;eor
       3379;20200201;20200229;    1;  6.22;   6.19;   10.74;    2.41;    3.00;  17.2;  33.0;  -3.6; 106.85;    1;   121.5;   34.8;eor
       3379;20200301;20200331;    1;  4.66;   6.15;   10.92;    1.70;    2.58;  19.4;  23.7;  -4.3; 185.03;    1;    61.0;   16.5;eor
